daily pattern
0
0
0
0
0
0
0
0.0039
0.103
0.284
0.539
0.724
0.758
0.690
0.531
0.276
0.016
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.039
0.365
0.601
0.732
0.794
0.782
0.702
0.549
0.297
0.020
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.012
0.108
0.140
0.178
0.314
0.426
0.369
0.199
0.069
0.001
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.034
0.372
0.606
0.741
0.794
0.785
0.707
0.551
0.297
0.022
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.045
0.371
0.606
0.743
0.805
0.790
0.679
0.528
0.294
0.022
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.022
0.141
0.252
0.338
0.426
0.264
0.129
0.082
0.052
0.002
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.033
0.356
0.591
0.728
0.775
0.772
0.700
0.540
0.291
0.025
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.059
0.412
0.637
0.768
0.811
0.809
0.734
0.576
0.326
0.034
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.065
0.404
0.611
0.744
0.780
0.733
0.554
0.383
0.184
0.016
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.038
0.316
0.582
0.716
0.776
0.772
0.699
0.539
0.296
0.031
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.039
0.296
0.517
0.643
0.669
0.609
0.429
0.211
0.061
0.001
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.024
0.248
0.476
0.614
0.614
0.520
0.260
0.129
0.083
0.007
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.036
0.330
0.566
0.710
0.775
0.773
0.701
0.548
0.305
0.037
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.032
0.305
0.540
0.665
0.712
0.684
0.572
0.359
0.156
0.012
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.088
0.452
0.674
0.806
0.856
0.850
0.772
0.609
0.356
0.057
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.089
0.422
0.632
0.750
0.798
0.783
0.703
0.545
0.301
0.042
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.077
0.388
0.602
0.729
0.784
0.775
0.699
0.550
0.310
0.049
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.043
0.293
0.529
0.667
0.710
0.714
0.645
0.472
0.257
0.039
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.076
0.228
0.213
0.271
0.262
0.273
0.298
0.266
0.147
0.023
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.090
0.436
0.644
0.764
0.819
0.804
0.724
0.570
0.331
0.067
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.088
0.400
0.610
0.731
0.782
0.773
0.699
0.522
0.298
0.058
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.084
0.373
0.584
0.705
0.763
0.749
0.657
0.483
0.257
0.054
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.091
0.389
0.603
0.728
0.779
0.775
0.701
0.556
0.310
0.044
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.023
0.113
0.237
0.343
0.382
0.341
0.286
0.189
0.099
0.015
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.112
0.447
0.655
0.783
0.834
0.826
0.750
0.596
0.362
0.070
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.160
0.466
0.667
0.782
0.832
0.815
0.730
0.537
0.247
0.030
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.039
0.240
0.490
0.652
0.729
0.738
0.668
0.518
0.302
0.049
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.130
0.428
0.641
0.768
0.825
0.814
0.737
0.575
0.341
0.063
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.029
0.124
0.298
0.542
0.731
0.721
0.645
0.475
0.250
0.035
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.081
0.258
0.329
0.306
0.306
0.307
0.247
0.205
0.154
0.041
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.164
0.473
0.673
0.792
0.843
0.828
0.746
0.592
0.354
0.069
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.137
0.409
0.623
0.747
0.790
0.778
0.701
0.543
0.318
0.059
0
0
0
0
0
0
0
0
0
0
0
0
